Postnummer,Poststedsnavn,Kategori,Primærkommunenummer,Primærkommunenavn,Primærfylkenummer,Primærfylke,X_gateadresser,Y_gateadresser,X_postbokser,Y_postbokser,Latitude_gateadresser,Longitude_gateadresser,Latitude_postbokser,Longitude_postbokser
4884,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484747,123873,,,58.3416765242714,8.56935254031091
4885,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6486765,127166,,,58.3624965973828,8.62199106666259,,
4886,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6486526,120784,,,58.3548967874875,8.51400486462148,,
4887,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6480267,120160,,,58.2985022065282,8.51369284401452,,
4888,HOMBORSUND,G,4202,GRIMSTAD,42,AGDER,6476814,119668,,,58.2672625326016,8.51101622051551,,
4889,FEVIK,P,4202,GRIMSTAD,42,AGDER,,,6488542,130495,,,58.3811750451678,8.67569091780412
4891,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484498,124134,,,58.3396775764745,8.57418778179801
4892,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484498,124134,,,58.3396775764745,8.57418778179801
4893,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6485711,125593,,,58.3517501633063,8.5969849216306
4894,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484498,124134,,,58.3396775764745,8.57418778179801
4896,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484498,124134,,,58.3396775764745,8.57418778179801
4898,GRIMSTAD,P,4202,GRIMSTAD,42,AGDER,,,6484498,124134,,,58.3396775764745,8.57418778179801
4900,TVEDESTRAND,G,4213,TVEDESTRAND,42,AGDER,6514036,147928,,,58.6232159326427,8.93281641688423,,
4901,TVEDESTRAND,P,4213,TVEDESTRAND,42,AGDER,,,6514535,147261,,,58.6271312515541,8.92061969683786
4902,TVEDESTRAND,P,4213,TVEDESTRAND,42,AGDER,,,6514535,147261,,,58.6271312515541,8.92061969683786
